Path,Emotion,Emotion_intensity,Gender
./archive/Actor_01/03-01-01-01-01-01-01.wav,1,1,male
./archive/Actor_01/03-01-01-01-01-02-01.wav,1,1,male
./archive/Actor_01/03-01-01-01-02-01-01.wav,1,1,male
./archive/Actor_01/03-01-01-01-02-02-01.wav,1,1,male
./archive/Actor_01/03-01-02-01-01-01-01.wav,2,1,male
./archive/Actor_01/03-01-02-01-01-02-01.wav,2,1,male
./archive/Actor_01/03-01-02-01-02-01-01.wav,2,1,male
./archive/Actor_01/03-01-02-01-02-02-01.wav,2,1,male
./archive/Actor_01/03-01-03-01-01-01-01.wav,3,1,male
./archive/Actor_01/03-01-03-01-01-02-01.wav,3,1,male
./archive/Actor_01/03-01-03-01-02-01-01.wav,3,1,male
./archive/Actor_01/03-01-03-01-02-02-01.wav,3,1,male
./archive/Actor_01/03-01-04-01-01-01-01.wav,4,1,male
./archive/Actor_01/03-01-04-01-01-02-01.wav,4,1,male
./archive/Actor_01/03-01-04-01-02-01-01.wav,4,1,male
./archive/Actor_01/03-01-04-01-02-02-01.wav,4,1,male
./archive/Actor_01/03-01-05-01-01-01-01.wav,5,1,male
./archive/Actor_01/03-01-05-01-01-02-01.wav,5,1,male
./archive/Actor_01/03-01-05-01-02-01-01.wav,5,1,male
./archive/Actor_01/03-01-05-01-02-02-01.wav,5,1,male
./archive/Actor_01/03-01-06-01-01-01-01.wav,6,1,male
./archive/Actor_01/03-01-06-01-01-02-01.wav,6,1,male
./archive/Actor_01/03-01-06-01-02-01-01.wav,6,1,male
./archive/Actor_01/03-01-06-01-02-02-01.wav,6,1,male
./archive/Actor_01/03-01-07-01-01-01-01.wav,7,1,male
./archive/Actor_01/03-01-07-01-01-02-01.wav,7,1,male
./archive/Actor_01/03-01-07-01-02-01-01.wav,7,1,male
./archive/Actor_01/03-01-07-01-02-02-01.wav,7,1,male
./archive/Actor_01/03-01-08-01-01-01-01.wav,0,1,male
./archive/Actor_01/03-01-08-01-01-02-01.wav,0,1,male
./archive/Actor_01/03-01-08-01-02-01-01.wav,0,1,male
./archive/Actor_01/03-01-08-01-02-02-01.wav,0,1,male
./archive/Actor_02/03-01-01-01-01-01-02.wav,1,1,female
./archive/Actor_02/03-01-01-01-01-02-02.wav,1,1,female
./archive/Actor_02/03-01-01-01-02-01-02.wav,1,1,female
./archive/Actor_02/03-01-01-01-02-02-02.wav,1,1,female
./archive/Actor_02/03-01-02-01-01-01-02.wav,2,1,female
./archive/Actor_02/03-01-02-01-01-02-02.wav,2,1,female
./archive/Actor_02/03-01-02-01-02-01-02.wav,2,1,female
./archive/Actor_02/03-01-02-01-02-02-02.wav,2,1,female
./archive/Actor_02/03-01-03-01-01-01-02.wav,3,1,female
./archive/Actor_02/03-01-03-01-01-02-02.wav,3,1,female
./archive/Actor_02/03-01-03-01-02-01-02.wav,3,1,female
./archive/Actor_02/03-01-03-01-02-02-02.wav,3,1,female
./archive/Actor_02/03-01-04-01-01-01-02.wav,4,1,female
./archive/Actor_02/03-01-04-01-01-02-02.wav,4,1,female
./archive/Actor_02/03-01-04-01-02-01-02.wav,4,1,female
./archive/Actor_02/03-01-04-01-02-02-02.wav,4,1,female
./archive/Actor_02/03-01-05-01-01-01-02.wav,5,1,female
./archive/Actor_02/03-01-05-01-01-02-02.wav,5,1,female
./archive/Actor_02/03-01-05-01-02-01-02.wav,5,1,female
./archive/Actor_02/03-01-05-01-02-02-02.wav,5,1,female
./archive/Actor_02/03-01-06-01-01-01-02.wav,6,1,female
./archive/Actor_02/03-01-06-01-01-02-02.wav,6,1,female
./archive/Actor_02/03-01-06-01-02-01-02.wav,6,1,female
./archive/Actor_02/03-01-06-01-02-02-02.wav,6,1,female
./archive/Actor_02/03-01-07-01-01-01-02.wav,7,1,female
./archive/Actor_02/03-01-07-01-01-02-02.wav,7,1,female
./archive/Actor_02/03-01-07-01-02-01-02.wav,7,1,female
./archive/Actor_02/03-01-07-01-02-02-02.wav,7,1,female
./archive/Actor_02/03-01-08-01-01-01-02.wav,0,1,female
./archive/Actor_02/03-01-08-01-01-02-02.wav,0,1,female
./archive/Actor_02/03-01-08-01-02-01-02.wav,0,1,female
./archive/Actor_02/03-01-08-01-02-02-02.wav,0,1,female
./archive/Actor_03/03-01-01-01-01-01-03.wav,1,1,male
./archive/Actor_03/03-01-01-01-01-02-03.wav,1,1,male
./archive/Actor_03/03-01-01-01-02-01-03.wav,1,1,male
./archive/Actor_03/03-01-01-01-02-02-03.wav,1,1,male
./archive/Actor_03/03-01-02-01-01-01-03.wav,2,1,male
./archive/Actor_03/03-01-02-01-01-02-03.wav,2,1,male
./archive/Actor_03/03-01-02-01-02-01-03.wav,2,1,male
./archive/Actor_03/03-01-02-01-02-02-03.wav,2,1,male
./archive/Actor_03/03-01-03-01-01-01-03.wav,3,1,male
./archive/Actor_03/03-01-03-01-01-02-03.wav,3,1,male
./archive/Actor_03/03-01-03-01-02-01-03.wav,3,1,male
./archive/Actor_03/03-01-03-01-02-02-03.wav,3,1,male
./archive/Actor_03/03-01-04-01-01-01-03.wav,4,1,male
./archive/Actor_03/03-01-04-01-01-02-03.wav,4,1,male
./archive/Actor_03/03-01-04-01-02-01-03.wav,4,1,male
./archive/Actor_03/03-01-04-01-02-02-03.wav,4,1,male
./archive/Actor_03/03-01-05-01-01-01-03.wav,5,1,male
./archive/Actor_03/03-01-05-01-01-02-03.wav,5,1,male
./archive/Actor_03/03-01-05-01-02-01-03.wav,5,1,male
./archive/Actor_03/03-01-05-01-02-02-03.wav,5,1,male
./archive/Actor_03/03-01-06-01-01-01-03.wav,6,1,male
./archive/Actor_03/03-01-06-01-01-02-03.wav,6,1,male
./archive/Actor_03/03-01-06-01-02-01-03.wav,6,1,male
